"AthenaeusUrn","HomericTextContent","HomerUrn","AlignmentUrn"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.54@Ὅμηρος[1]-9.54@γαλαθηνούς[1]","Ἕκτωρ γὰρ θνητός τε γυναῖκά τε θήσατο μαζόν","urn:cts:greekLit:tlg0012.tlg001.ogl01:24.58","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24.58"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.70@καὶ[12]-9.54@αὐτμή[1]","τοῦ καὶ κινυμένοιο Διὸς ποτὶ χαλκοβατὲς δῶ","urn:cts:greekLit:tlg0012.tlg001.ogl01:14.173","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:14.173"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.70@καὶ[12]-9.54@αὐτμή[1]","ἔμπης ἐς γαῖάν τε καὶ οὐρανὸν ἵκετ᾽ αὐτμή","urn:cts:greekLit:tlg0012.tlg001.ogl01:14.174","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:14.174"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.75@καὶ[1]-9.75@ἔχουσα[1]","ἦ ῥα καὶ ἀμφίπολον ταμίην ὤτρυν᾽ ὁ γεραιὸς","urn:cts:greekLit:tlg0012.tlg001.ogl01:24.302","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24.302"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.75@καὶ[1]-9.75@ἔχουσα[1]","χερσὶν ὕδωρ ἐπιχεῦαι ἀκήρατον: ἣ δὲ παρέστη","urn:cts:greekLit:tlg0012.tlg001.ogl01:24.303","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24.303"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.75@καὶ[1]-9.75@ἔχουσα[1]","χέρνιβον ἀμφίπολος πρόχοόν θ᾽ ἅμα χερσὶν ἔχουσα","urn:cts:greekLit:tlg0012.tlg001.ogl01:24.304","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24.304"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.17@καὶ[5]-10.17@Ἄρηα[1]","νῦν δ᾽ ἔρχεσθ᾽ ἐπὶ δεῖπνον, ἵνα ξυνάγωμεν Ἄρηα","urn:cts:greekLit:tlg0012.tlg001.ogl01:2.381","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2.381"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.21@ἐμοὶ[1]-10.21@οἰνοχόων[1]","ζωρότερον κέραιρε","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.203","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.203@ζωρότερον[1]-9.203@κέραιε[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.22@πρότερον[1]-10.22@Ὁμηρικῶς[1]","κεράσας ζωρότερον","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.203","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.203@ζωρότερον[1]-9.203@κέραιε[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.26@οἱ[1]-10.26@κύπελλα[1]","κήρυκες δ᾽ ἀνὰ ἄστυ φέρον θεῶν ὅρκια πιστά","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.245","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.245"
